id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,StPrice1,StPrice2,StPriceCombine
5884,CDS,cde_fo,EURINR,8175,OPTCUR,PE,96.25,EURINR23JUNE2396.25PE,EURINR2362396.25PE,EURINR 23JUN23 96.25 PE,23-06-2023,1,0.0025,96,25,96.25
5885,CDS,cde_fo,EURINR,8176,OPTCUR,CE,96,EURINR30JUNE2396CE,EURINR2363096CE,EURINR 30JUN23 96 CE,30-06-2023,1,0.0025,96,,96
5886,CDS,cde_fo,EURINR,8177,OPTCUR,PE,96,EURINR30JUNE2396PE,EURINR2363096PE,EURINR 30JUN23 96 PE,30-06-2023,1,0.0025,96,,96
5887,CDS,cde_fo,EURINR,8178,OPTCUR,CE,96.25,EURINR30JUNE2396.25CE,EURINR2363096.25CE,EURINR 30JUN23 96.25 CE,30-06-2023,1,0.0025,96,25,96.25
5888,CDS,cde_fo,EURINR,8179,OPTCUR,PE,96.25,EURINR30JUNE2396.25PE,EURINR2363096.25PE,EURINR 30JUN23 96.25 PE,30-06-2023,1,0.0025,96,25,96.25
5889,CDS,cde_fo,EURINR,8180,OPTCUR,CE,96,EURINR28MARCH2496CE,EURINR24MAR96CE,EURINR 28MAR24 96 CE,28-03-2024,1,0.0025,96,,96
5890,CDS,cde_fo,EURINR,8181,OPTCUR,PE,96,EURINR28MARCH2496PE,EURINR24MAR96PE,EURINR 28MAR24 96 PE,28-03-2024,1,0.0025,96,,96
5891,CDS,cde_fo,EURINR,8182,OPTCUR,CE,96.25,EURINR28MARCH2496.25CE,EURINR24MAR96.25CE,EURINR 28MAR24 96.25 CE,28-03-2024,1,0.0025,96,25,96.25
5892,CDS,cde_fo,EURINR,8183,OPTCUR,PE,96.25,EURINR28MARCH2496.25PE,EURINR24MAR96.25PE,EURINR 28MAR24 96.25 PE,28-03-2024,1,0.0025,96,25,96.25
5893,CDS,cde_fo,EURUSD,8184,OPTCUR,CE,1.22,EURUSD29MAY231.22CE,EURUSD23MAY1.22CE,EURUSD 29MAY23 1.22 CE,29-05-2023,1,0.0001,1,22,1.22
5894,CDS,cde_fo,EURUSD,8185,OPTCUR,PE,1.22,EURUSD29MAY231.22PE,EURUSD23MAY1.22PE,EURUSD 29MAY23 1.22 PE,29-05-2023,1,0.0001,1,22,1.22
5895,CDS,cde_fo,EURUSD,8186,OPTCUR,CE,1.22,EURUSD28MARCH241.22CE,EURUSD24MAR1.22CE,EURUSD 28MAR24 1.22 CE,28-03-2024,1,0.0001,1,22,1.22
5896,CDS,cde_fo,EURUSD,8187,OPTCUR,PE,1.22,EURUSD28MARCH241.22PE,EURUSD24MAR1.22PE,EURUSD 28MAR24 1.22 PE,28-03-2024,1,0.0001,1,22,1.22
5897,CDS,cde_fo,GBPINR,8188,OPTCUR,CE,108.5,GBPINR21APRIL23108.5CE,GBPINR23421108.5CE,GBPINR 21APR23 108.5 CE,21-04-2023,1,0.0025,108,5,108.5
5898,CDS,cde_fo,GBPINR,8189,OPTCUR,PE,108.5,GBPINR21APRIL23108.5PE,GBPINR23421108.5PE,GBPINR 21APR23 108.5 PE,21-04-2023,1,0.0025,108,5,108.5
5899,CDS,cde_fo,GBPINR,8190,OPTCUR,CE,108.5,GBPINR26APRIL23108.5CE,GBPINR23APR108.5CE,GBPINR 26APR23 108.5 CE,26-04-2023,1,0.0025,108,5,108.5
5900,CDS,cde_fo,GBPINR,8191,OPTCUR,PE,108.5,GBPINR26APRIL23108.5PE,GBPINR23APR108.5PE,GBPINR 26APR23 108.5 PE,26-04-2023,1,0.0025,108,5,108.5
