,date,open,high,low,close
0,2022-10-17 09:15:00,39295.6,39475.15,39258.55,39466.0
1,2022-10-17 09:16:00,39457.25,39546.7,39447.7,39510.05
2,2022-10-17 09:17:00,39517.3,39524.0,39428.15,39434.6
3,2022-10-17 09:18:00,39438.8,39445.1,39336.6,39351.35
4,2022-10-17 09:19:00,39353.45,39354.0,39310.6,39325.65
5,2022-10-17 09:20:00,39330.95,39419.05,39288.15,39415.95
6,2022-10-17 09:21:00,39414.7,39420.95,39388.9,39417.6
7,2022-10-17 09:22:00,39418.0,39418.0,39343.2,39378.35
8,2022-10-17 09:23:00,39375.75,39390.1,39337.85,39367.4
9,2022-10-17 09:24:00,39363.5,39407.7,39349.8,39407.7
10,2022-10-17 09:25:00,39416.25,39418.0,39358.0,39368.4
11,2022-10-17 09:26:00,39369.35,39372.0,39338.95,39340.4
12,2022-10-17 09:27:00,39339.6,39343.25,39308.85,39313.8
13,2022-10-17 09:28:00,39313.4,39318.5,39255.3,39275.15
14,2022-10-17 09:29:00,39274.9,39274.9,39231.95,39253.5
15,2022-10-17 09:30:00,39247.35,39247.35,39186.05,39195.7
16,2022-10-17 09:31:00,39196.5,39210.6,39153.85,39153.85
17,2022-10-17 09:32:00,39154.15,39200.05,39148.2,39194.55
18,2022-10-17 09:33:00,39199.05,39226.1,39192.6,39223.7
19,2022-10-17 09:34:00,39224.3,39234.45,39201.3,39234.4
20,2022-10-17 09:35:00,39234.5,39267.45,39230.45,39267.45
21,2022-10-17 09:36:00,39271.3,39339.5,39271.3,39334.75
22,2022-10-17 09:37:00,39329.25,39333.7,39295.3,39308.65
23,2022-10-17 09:38:00,39306.9,39340.65,39306.9,39321.0
24,2022-10-17 09:39:00,39319.8,39334.25,39298.35,39312.75
25,2022-10-17 09:40:00,39310.85,39312.6,39282.65,39298.55
26,2022-10-17 09:41:00,39296.3,39334.2,39294.1,39330.1
27,2022-10-17 09:42:00,39332.85,39355.6,39328.35,39346.0
28,2022-10-17 09:43:00,39346.85,39388.05,39345.2,39383.4
29,2022-10-17 09:44:00,39383.5,39397.25,39357.1,39375.3
30,2022-10-17 09:45:00,39375.05,39407.85,39374.3,39402.2
31,2022-10-17 09:46:00,39404.2,39439.6,39399.8,39436.8
32,2022-10-17 09:47:00,39433.25,39436.45,39408.85,39408.85
33,2022-10-17 09:48:00,39401.5,39409.0,39389.6,39391.4
34,2022-10-17 09:49:00,39394.55,39411.55,39377.6,39410.75
35,2022-10-17 09:50:00,39412.1,39448.6,39410.8,39438.4
36,2022-10-17 09:51:00,39435.15,39446.15,39403.6,39408.55
37,2022-10-17 09:52:00,39411.2,39413.1,39390.9,39406.6
38,2022-10-17 09:53:00,39410.85,39440.2,39407.0,39438.6
39,2022-10-17 09:54:00,39436.3,39454.9,39427.0,39443.15
40,2022-10-17 09:55:00,39448.95,39453.4,39422.15,39422.5
41,2022-10-17 09:56:00,39422.35,39442.1,39422.35,39440.7
42,2022-10-17 09:57:00,39439.1,39452.35,39429.05,39429.05
43,2022-10-17 09:58:00,39423.95,39434.9,39407.4,39413.5
44,2022-10-17 09:59:00,39413.2,39431.75,39411.1,39420.75
45,2022-10-17 10:00:00,39422.6,39443.55,39422.6,39437.45
46,2022-10-17 10:01:00,39439.2,39481.45,39437.6,39481.15
47,2022-10-17 10:02:00,39485.65,39512.7,39483.85,39506.65
48,2022-10-17 10:03:00,39505.15,39536.45,39500.25,39532.8
49,2022-10-17 10:04:00,39531.05,39554.3,39515.4,39546.0
